date,open,high,low,close,adj_close,volume
2020-06-11,392.69,397.31,383.57,383.88,367.77,1698800
2020-06-10,406.50,409.10,403.45,403.77,386.82,1188200
2020-06-09,410.53,411.94,407.00,408.56,391.41,1188400
2020-06-08,415.00,417.62,411.75,414.30,396.91,1294600
2020-06-05,410.00,416.00,406.45,410.75,393.51,1702500
2020-06-04,401.78,404.87,399.00,403.67,386.73,1261700
2020-06-03,393.65,403.60,392.59,402.63,385.73,1382200
2020-06-02,388.64,393.23,386.99,389.77,373.41,1404700
2020-06-01,388.94,394.00,387.31,388.96,372.64,1090300
2020-05-29,396.04,396.24,384.77,388.44,372.14,1733800
2020-05-28,401.46,404.26,398.16,398.44,379.42,1487900
2020-05-27,376.78,397.12,376.58,397.12,378.16,1986900
2020-05-26,376.95,376.95,370.57,372.20,354.43,1596100
2020-05-22,369.86,370.16,365.62,369.00,351.38,752600
2020-05-21,362.69,370.03,362.60,368.82,351.21,1179100
2020-05-20,372.44,374.00,362.11,362.51,345.20,1880500
2020-05-19,378.07,382.46,371.24,371.48,353.75,1087100
2020-05-18,371.21,380.49,366.02,377.54,359.52,1879700
2020-05-15,352.53,361.51,352.32,360.40,343.19,1854500
2020-05-14,360.99,361.54,352.26,356.28,339.27,1776400
2020-05-13,371.28,372.46,362.01,364.18,346.79,1287400
2020-05-12,378.00,382.44,371.03,371.11,353.39,1447700
2020-05-11,375.00,379.50,374.14,376.56,358.58,1287800
2020-05-08,378.03,381.13,376.25,378.40,360.34,1130400
2020-05-07,383.01,384.13,376.00,376.54,358.56,1462000
2020-05-06,390.89,390.89,378.41,378.58,360.51,1089800
2020-05-05,382.41,392.78,381.59,390.30,371.67,1270900
2020-05-04,382.02,382.97,374.13,380.16,362.01,1077900
2020-05-01,385.64,387.41,381.09,383.47,365.16,911600
2020-04-30,383.10,391.44,380.44,389.06,370.49,1343300
2020-04-29,388.16,393.51,379.50,387.91,369.39,1500400
2020-04-28,381.86,387.83,380.42,384.73,366.36,1313900
2020-04-27,383.91,384.04,378.00,378.57,360.50,1457400
2020-04-24,378.72,384.06,372.98,381.77,363.54,1029200
